;Heure;date_heure;weekday;date;vacances_zone_a;vacances_zone_b;vacances_zone_c;nom_vacances;Vac_Ete;Vac_Hiver;Vac_Ascension;Vac_Printemps;Vac_Toussaint;Vac_Noel;est_jour_ferie;nom_jour_ferie;num_sem;Mois;Année;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;veille_jour_ferie;lendemain_jour_ferie;trafic_passager_heure;nb_transaction_carte_abo_heure;nb_transaction_voyages_heure;nb_appels_entrants_cor
0;0;2018-01-01 00:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
1;1;2018-01-01 01:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
2;2;2018-01-01 02:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
3;3;2018-01-01 03:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
4;4;2018-01-01 04:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
5;5;2018-01-01 05:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
6;6;2018-01-01 06:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
7;7;2018-01-01 07:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.5962240779411299;-0.9533110763739086;-0.7571374540095099
8;8;2018-01-01 08:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.5937679242694205;-0.9528220514160057;-0.7526211548098618
9;9;2018-01-01 09:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.47341639435566246;-0.9288598284787594;-0.5313224940271016
10;10;2018-01-01 10:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.2842925616340429;-0.8912049067202296;-0.18356745565419277
11;11;2018-01-01 11:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.20078333679592508;-0.874578058151528;-0.030013282866155087
12;12;2018-01-01 12:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.12218641930122598;-0.8589292594986324;0.11450829152258625
13;13;2018-01-01 13:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.2400817955432746;-0.8824024574779757;-0.10227407006052576
14;14;2018-01-01 14:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.15411641703344747;-0.8652865839513714;0.05579640192716008
15;15;2018-01-01 15:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.14183564867490078;-0.8628414591618564;0.07837789792540091
16;16;2018-01-01 16:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.11481795828609795;-0.8574621846249235;0.12805718912153075
17;17;2018-01-01 17:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.13446718765977267;-0.8613743842881474;0.09192679552434542
18;18;2018-01-01 18:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.19341487578079697;-0.873110983277819;-0.01646438526721059
19;19;2018-01-01 19:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.27938025429062413;-0.8902268568044236;-0.17453485725489642
20;20;2018-01-01 20:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.40464409154780084;-0.9151671296574758;-0.4048661164369529
21;21;2018-01-01 21:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.5323640824766868;-0.9405964274684311;-0.6397136748186576
22;22;2018-01-01 22:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
23;23;2018-01-01 23:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
24;0;2018-01-02 00:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
25;1;2018-01-02 01:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
26;2;2018-01-02 02:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
27;3;2018-01-02 03:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
28;4;2018-01-02 04:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
29;5;2018-01-02 05:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
30;6;2018-01-02 06:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
31;7;2018-01-02 07:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.493594328704658;-0.9318654352052541;-0.6939092652144356
32;8;2018-01-02 08:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.26122575218920374;-0.8845221905764648;-0.4003498172373048
33;9;2018-01-02 09:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.13558827847564917;-0.8036744959026858;0.10095939392364175
34;10;2018-01-02 10:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.7361716762386695;-0.6813104174775068;0.8596976594645338
35;11;2018-01-02 11:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.8863175256794247;-0.6507193978712121;1.0493822258497567
36;12;2018-01-02 12:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.4466046808886419;-0.7403073838610752;0.4938774242930323
37;13;2018-01-02 13:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.37153175616826434;-0.7556028936642226;0.39903514110042076
38;14;2018-01-02 14:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.510952902077537;-0.727196946886949;0.5751708098866993
39;15;2018-01-02 15:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.5574266173806278;-0.717728297961191;0.6338826994821255
